DATE      ,TIME       ,LAT     ,LON      ,DEPTH,MAG,,,,,,,,,,,,,,,,
1971-12-04,38:03.3,27.762,87.7669,35,5,,,,,,,,,,,,,,,,
1971-12-21,54:42.9,35.6043,74.1932,16.3,5.1,,,,,,,,,,,,,,,,
1971-12-27,59:37.9,34.9894,72.967,24,5.1,,,,,,,,,,,,,,,,
1972-03-10,36:17.8,33.9007,72.7369,34,5,,,,,,,,,,,,,,,,
1972-04-02,34:27.8,36.0828,73.6648,31.3,5,,,,,,,,,,,,,,,,
1972-04-02,50:50.7,36.1848,73.8627,10,4.8,,,,,,,,,,,,,,,,
1972-04-09,47:36.9,35.285,74.8517,25,4.6,,,,,,,,,,,,,,,,
1972-04-17,24:49.2,33.9759,72.7944,22,4.9,,,,,,,,,,,,,,,,
1972-06-08,10:13.0,29.7039,92.4064,35,4.8,,,,,,,,,,,,,,,,
1972-08-17,14:25.9,30.6988,78.4608,28,5.3,,,,,,,,,,,,,,,,
1972-08-21,04:34.3,27.413,87.9544,20,4.8,,,,,,,,,,,,,,,,
1972-09-03,48:28.7,35.9435,73.4339,26.1,6.3,,,,,,,,,,,,,,,,
1972-09-03,09:22.4,36.0405,73.4492,48,4.8,,,,,,,,,,,,,,,,
1972-09-03,46:19.1,36.0825,73.4084,35,4.6,,,,,,,,,,,,,,,,
1972-09-03,24:59.0,36.0973,73.4317,48,4.7,,,,,,,,,,,,,,,,
1972-09-03,32:21.6,36.0809,73.6042,48,5.2,,,,,,,,,,,,,,,,
1972-09-03,03:54.9,35.949,73.2351,40.1,5.6,,,,,,,,,,,,,,,,
1972-09-04,14:11.3,35.9969,73.3667,48,4.6,,,,,,,,,,,,,,,,
1972-09-04,50:27.2,35.9545,73.386,63,5.3,,,,,,,,,,,,,,,,
1972-09-04,23:50.5,35.9119,73.3373,25.1,5.3,,,,,,,,,,,,,,,,
1972-09-04,36:20.4,35.9485,73.3484,48,5.2,,,,,,,,,,,,,,,,
1972-09-04,51:21.7,35.976,73.3717,24.3,5.3,,,,,,,,,,,,,,,,
1972-09-04,26:48.7,36.0815,73.5162,48,4.6,,,,,,,,,,,,,,,,
1972-09-04,35:45.8,35.8229,73.4972,48,4.8,,,,,,,,,,,,,,,,
1972-09-04,37:52.1,35.8681,73.3574,27.6,5.1,,,,,,,,,,,,,,,,
1972-09-04,42:21.0,35.8794,73.4097,46.4,5.8,,,,,,,,,,,,,,,,
1972-09-04,58:34.1,36.1486,73.5355,48,4.8,,,,,,,,,,,,,,,,
1972-09-04,00:52.5,36.113,73.7897,35,4.7,,,,,,,,,,,,,,,,
1972-09-04,44:10.9,35.9301,73.6071,48,4.8,,,,,,,,,,,,,,,,
1972-09-04,25:29.9,36.0325,73.6406,48,4.5,,,,,,,,,,,,,,,,
1972-09-05,08:05.3,35.7935,73.5078,75,4.6,,,,,,,,,,,,,,,,
1972-09-05,07:30.5,35.9645,73.5991,48,4.8,,,,,,,,,,,,,,,,
1972-09-05,14:00.9,35.8441,73.3584,48,5.2,,,,,,,,,,,,,,,,
1972-09-06,51:29.0,32.4127,78.4001,11.2,5.1,,,,,,,,,,,,,,,,
1972-09-07,24:17.1,35.8948,73.3929,30,4.8,,,,,,,,,,,,,,,,
1972-09-10,45:49.9,36.2347,73.5389,48,4.7,,,,,,,,,,,,,,,,
1972-09-16,33:35.2,36.0006,73.6492,48,4.7,,,,,,,,,,,,,,,,
1972-09-17,37:49.0,35.991,73.3245,23.9,5.5,,,,,,,,,,,,,,,,
1972-09-18,42:03.1,35.8204,73.6045,48,4.9,,,,,,,,,,,,,,,,
1972-09-20,44:00.3,36.0942,73.6176,48,4.7,,,,,,,,,,,,,,,,
1972-09-27,03:38.9,33.934,72.7324,24.5,5.1,,,,,,,,,,,,,,,,
1972-09-27,18:06.7,36.0934,73.6455,10,5.1,,,,,,,,,,,,,,,,
1972-09-27,24:55.2,35.0565,72.8468,24,5,,,,,,,,,,,,,,,,
1972-10-12,21:13.4,35.9267,73.3612,29.4,5.3,,,,,,,,,,,,,,,,
1972-10-13,04:40.4,35.9457,73.4766,48,5.2,,,,,,,,,,,,,,,,
1972-10-15,47:53.9,35.8156,73.3461,48,4.9,,,,,,,,,,,,,,,,
1972-10-26,05:48.7,32.1412,76.5507,11,4.7,,,,,,,,,,,,,,,,
1972-10-31,31:20.6,35.9674,73.4708,48,4.8,,,,,,,,,,,,,,,,
1972-11-06,56:11.9,26.8897,88.5884,35,4.7,,,,,,,,,,,,,,,,
1972-11-07,12:21.1,35.9786,73.6704,10,5.1,,,,,,,,,,,,,,,,
1973-01-16,31:25.8,33.2808,75.7823,26,5.1,,,,,,,,,,,,,,,,
1973-01-29,32:08.5,35.8436,73.4101,48,4.9,,,,,,,,,,,,,,,,
1973-02-10,51:21.6,30.2662,80.3806,11,4.6,,,,,,,,,,,,,,,,
1973-03-22,06:58.9,28.2085,87.1235,28.6,5,,,,,,,,,,,,,,,,
1973-04-10,10:04.1,33.178,75.7404,50,4.6,,,,,,,,,,,,,,,,
1973-04-14,46:12.4,36.0216,73.5347,48,4.2,,,,,,,,,,,,,,,,
1973-07-04,44:13.4,27.3671,92.4163,18,5,,,,,,,,,,,,,,,,
1973-07-13,03:35.8,33.1129,75.696,16,4.8,,,,,,,,,,,,,,,,
1973-07-13,54:25.2,33.1171,75.6844,16,4.4,,,,,,,,,,,,,,,,
1973-07-23,01:37.1,37.0448,72.1096,142,4.4,,,,,,,,,,,,,,,,
1973-08-01,05:19.6,29.3693,89.0395,91.6,5,,,,,,,,,,,,,,,,
1973-08-30,27:27.9,35.9303,73.6671,35,4.2,,,,,,,,,,,,,,,,
1973-09-11,55:59.6,27.0292,92.6664,35,4.9,,,,,,,,,,,,,,,,
1973-09-27,04:24.7,33.5992,71.8667,35,4.8,,,,,,,,,,,,,,,,
1973-10-02,03:37.5,35.9365,73.4651,48,4.8,,,,,,,,,,,,,,,,
1973-10-06,29:12.3,35.8809,73.0675,26,4.9,,,,,,,,,,,,,,,,
1973-10-09,01:50.0,27.8084,93.362,35,4.9,,,,,,,,,,,,,,,,
1973-10-16,50:44.2,28.3748,82.8828,25.4,5.1,,,,,,,,,,,,,,,,
1973-10-24,23:52.4,33.1527,75.9536,31.1,5.4,,,,,,,,,,,,,,,,
1973-10-24,57:16.4,33.1387,75.9996,28,4.9,,,,,,,,,,,,,,,,
1973-11-16,37:02.1,37.3573,72.2059,210,4.8,,,,,,,,,,,,,,,,
1973-11-27,47:38.3,31.6578,71.8545,35,4.6,,,,,,,,,,,,,,,,
1973-12-09,36:53.6,35.9708,73.3854,29.1,5.1,,,,,,,,,,,,,,,,
1973-12-16,16:13.3,32.3997,76.0987,14.9,4.9,,,,,,,,,,,,,,,,
1973-12-16,09:47.0,34.2321,74.0374,26,5.2,,,,,,,,,,,,,,,,
1974-02-17,37:32.0,36.9342,71.8732,160,4,,,,,,,,,,,,,,,,
1974-02-24,32:04.5,30.8866,78.4173,10,4.9,,,,,,,,,,,,,,,,
1974-03-13,47:50.8,29.2377,81.2791,27,4.5,,,,,,,,,,,,,,,,
1974-03-24,16:03.3,27.7852,86.0684,24,5.7,,,,,,,,,,,,,,,,
1974-03-24,17:38.4,27.4549,85.8967,19,5,,,,,,,,,,,,,,,,
1974-03-25,44:07.0,33.6719,72.7127,35,4.5,,,,,,,,,,,,,,,,
1974-03-26,45:51.6,33.9157,72.6138,10,4.3,,,,,,,,,,,,,,,,
1974-04-06,19:32.7,37.0678,72.5153,26.1,5.4,,,,,,,,,,,,,,,,
1974-04-06,58:25.5,37.0824,72.4376,100,4.1,,,,,,,,,,,,,,,,
1974-04-12,32:47.7,33.6556,74.0053,10,4.7,,,,,,,,,,,,,,,,
1974-04-16,20:33.9,36.8907,72.1487,10,4.2,,,,,,,,,,,,,,,,
1974-04-30,35:49.9,36.8285,72.5598,152,4.2,,,,,,,,,,,,,,,,
1974-05-06,07:02.3,29.2306,81.5732,33,4.5,,,,,,,,,,,,,,,,
1974-05-11,47:50.4,35.6167,72.039,68,4.5,,,,,,,,,,,,,,,,
1974-05-16,04:02.2,37.4826,72.3507,176,4.4,,,,,,,,,,,,,,,,
1974-05-20,39:18.6,34.5425,74.1996,26,4.9,,,,,,,,,,,,,,,,
1974-06-25,47:34.0,31.3777,73.125,10,4.4,,,,,,,,,,,,,,,,
1974-07-05,17:50.0,37.3897,72.368,10,5.1,,,,,,,,,,,,,,,,
1974-07-07,56:49.5,30.5333,78.6953,28,4.9,,,,,,,,,,,,,,,,
1974-07-09,17:09.9,27.2976,92.4423,18,4.6,,,,,,,,,,,,,,,,
1974-07-10,10:36.3,28.8265,95.4709,40,4.9,,,,,,,,,,,,,,,,
1974-08-01,54:14.0,33.7357,75.7744,10,4.5,,,,,,,,,,,,,,,,
1974-08-04,26:00.2,37.2482,72.1878,217.8,4.4,,,,,,,,,,,,,,,,
1974-08-11,21:04.6,35.6022,73.0874,21,4.2,,,,,,,,,,,,,,,,
1974-09-09,19:47.8,35.9583,73.5082,48,4.6,,,,,,,,,,,,,,,,
1974-09-21,07:11.2,37.4522,71.8838,130,4.7,,,,,,,,,,,,,,,,
1974-09-27,26:38.3,28.5856,85.4326,47,5.7,,,,,,,,,,,,,,,,
1974-11-06,57:04.5,37.4024,72.7864,180,4.4,,,,,,,,,,,,,,,,
1974-11-13,21:22.6,36.0968,73.0091,26,4.7,,,,,,,,,,,,,,,,
1974-11-16,18:35.1,32.9955,76.236,28,4.9,,,,,,,,,,,,,,,,
1974-11-22,51:36.8,33.344,76.5857,31,4.7,,,,,,,,,,,,,,,,
1974-12-18,26:12.2,37.1307,72.9159,42,4.3,,,,,,,,,,,,,,,,
1974-12-23,45:41.8,29.3013,81.2625,27,5.3,,,,,,,,,,,,,,,,
1974-12-28,11:46.4,35.0577,72.9833,28.9,6,,,,,,,,,,,,,,,,
1974-12-28,46:11.8,35.3683,73.0952,37,4.9,,,,,,,,,,,,,,,,
1974-12-28,02:33.6,35.1328,72.8068,24,4.2,,,,,,,,,,,,,,,,
1974-12-28,28:17.7,35.0201,73.0053,24,5,,,,,,,,,,,,,,,,
1974-12-28,38:50.7,35.0644,73.004,24,4.8,,,,,,,,,,,,,,,,
1975-01-10,01:00.9,37.0576,72.0684,142,4.5,,,,,,,,,,,,,,,,
1975-01-19,00:19.2,32.2332,78.6666,12,5.1,,,,,,,,,,,,,,,,
1975-01-19,02:01.1,32.3511,78.487,12.9,6.4,,,,,,,,,,,,,,,,
1975-01-19,12:06.6,31.8828,78.5807,12,5.9,,,,,,,,,,,,,,,,
1975-01-19,18:22.1,32.0733,78.5862,12,4.9,,,,,,,,,,,,,,,,
1975-01-19,12:54.7,32.3472,78.6688,13,4.7,,,,,,,,,,,,,,,,
1975-01-19,04:34.6,31.9399,78.605,12,5,,,,,,,,,,,,,,,,
1975-01-19,16:10.9,32.3587,78.4689,13,4.7,,,,,,,,,,,,,,,,
1975-01-19,41:10.6,32.6694,79.0806,35,4.4,,,,,,,,,,,,,,,,
1975-01-20,37:30.9,32.3432,78.6976,13,4.7,,,,,,,,,,,,,,,,
1975-01-20,40:34.6,32.2484,78.6621,12,4.5,,,,,,,,,,,,,,,,
1975-01-20,06:50.0,32.4166,78.543,13,4.8,,,,,,,,,,,,,,,,
1975-01-20,24:12.0,32.1802,78.377,12,4.7,,,,,,,,,,,,,,,,
1975-01-20,27:58.3,34.9831,73.0085,24,4.7,,,,,,,,,,,,,,,,
1975-01-22,26:34.1,31.923,78.6875,12,4.8,,,,,,,,,,,,,,,,
1975-01-23,37:42.8,27.3816,88.2329,22,4.6,,,,,,,,,,,,,,,,
1975-01-27,10:17.3,32.3233,78.5795,13,5,,,,,,,,,,,,,,,,
1975-01-27,23:36.7,32.0685,78.5976,12,4.9,,,,,,,,,,,,,,,,
1975-01-27,41:38.0,32.4011,78.6203,13,4.9,,,,,,,,,,,,,,,,
1975-01-27,58:06.6,32.7873,78.29,10,4.6,,,,,,,,,,,,,,,,
1975-01-29,49:24.0,31.7898,78.6385,12,4.9,,,,,,,,,,,,,,,,
1975-01-31,38:55.7,28.0927,84.6786,46.2,5.1,,,,,,,,,,,,,,,,
1975-01-31,04:07.6,32.1995,78.5174,13,4.5,,,,,,,,,,,,,,,,
1975-02-01,16:47.3,35.8079,73.0735,26,4.9,,,,,,,,,,,,,,,,
1975-02-02,14:10.3,32.4945,78.465,13,5.2,,,,,,,,,,,,,,,,
1975-02-06,39:50.8,27.7985,87.492,68,4.8,,,,,,,,,,,,,,,,
1975-02-11,41:31.2,32.0702,78.6941,12,4.7,,,,,,,,,,,,,,,,
1975-03-10,07:03.2,32.1483,78.8224,35,5,,,,,,,,,,,,,,,,
1975-03-11,39:31.8,32.0667,78.547,12,4.8,,,,,,,,,,,,,,,,
1975-03-23,19:35.2,35.5513,74.7988,25,5,,,,,,,,,,,,,,,,
1975-03-24,53:03.8,32.0268,78.4863,12,4.7,,,,,,,,,,,,,,,,
1975-03-26,47:13.1,31.8543,78.4609,12,4.7,,,,,,,,,,,,,,,,
1975-03-31,02:33.9,37.175,71.9163,142,4.6,,,,,,,,,,,,,,,,
1975-04-01,18:42.4,31.8669,78.4573,12,4.6,,,,,,,,,,,,,,,,
1975-04-07,41:01.5,34.8851,72.9096,24,4.9,,,,,,,,,,,,,,,,
1975-04-09,45:41.6,31.9478,78.5734,12,4.8,,,,,,,,,,,,,,,,
1975-04-23,07:24.7,35.8122,73.583,48,4.8,,,,,,,,,,,,,,,,
