LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
29.7944,95.4796,16.2,5.3,9/27/2004,05:37.9
34.6702,73.2491,15.7,5.3,10/8/2005,19:49.3
34.5643,73.4904,16.4,5.3,10/8/2005,15:25.7
34.5542,73.2699,15.1,5.3,10/8/2005,08:28.6
34.6692,73.2603,19.5,5.3,10/28/2005,34:16.2
34.7407,73.2202,20,5.3,11/21/2005,26:14.5
37.3646,74.7081,9.6,5.3,8/6/2006,26:19.7
29.6975,90.3711,11.7,5.3,10/6/2008,10:33.8
34.8215,73.7083,28.3,5.3,8/13/2012,32:59.1
33.2362,75.8785,17.5,5.3,8/2/2013,32:48.0
27.7097,85.9014,10,5.3,4/25/2015,17:59.5
28.202,84.6237,10,5.3,4/25/2015,20:40.4
28.2579,85.8625,9.9,5.3,4/25/2015,42:51.7
27.6932,86.2267,11,5.3,5/12/2015,34:22.6
29.2787,81.6399,16.1,5.3,12/18/2015,16:56.2
29.3022,81.1505,16.9,5.3,11/19/2019,30:56.6
28.2932,84.356,12,5.3,5/18/2021,57:58.7
29.4703,81.2719,11.6,5.3,11/12/2022,27:05.8
29.3238,80.9165,17,5.2,10/6/1964,19:34.3
29.4573,81.2309,20,5.2,12/2/1964,21:44.5
35.9106,73.4522,48,5.2,1/23/1965,02:56.1
29.5572,80.2798,10,5.2,3/18/1965,41:26.4
32.5437,77.9474,35,5.2,5/31/1965,04:44.9
33.8693,73.1539,22,5.2,2/2/1966,20:08.5
33.5955,75.36,17.8,5.2,2/21/1967,37:44.5
28.4406,94.2971,17.3,5.2,3/11/1967,56:52.7
29.7198,92.2001,12.6,5.2,1/31/1968,45:17.8
37.251,73.1099,18.2,5.2,10/19/1968,01:30.9
37.4278,73.2046,11.9,5.2,10/19/1968,52:02.2
37.312,73.1034,35,5.2,10/30/1968,07:25.4
29.1351,81.6066,19.6,5.2,2/12/1970,51:48.8
27.6028,85.8968,19,5.2,2/26/1970,30:07.4
36.0809,73.6042,48,5.2,9/3/1972,32:21.6
35.9485,73.3484,48,5.2,9/4/1972,36:20.4
35.8441,73.3584,48,5.2,9/5/1972,14:00.9
35.9457,73.4766,48,5.2,10/13/1972,04:40.4
34.2321,74.0374,26,5.2,12/16/1973,09:47.0
32.4945,78.465,13,5.2,2/2/1975,14:10.3
31.8794,78.6034,23.9,5.2,7/19/1975,10:54.2
29.187,81.8084,13.5,5.2,9/6/1975,44:34.6
32.8684,75.7874,10,5.2,10/30/1975,20:49.9
32.9205,75.8865,28,5.2,10/30/1975,36:44.1
